# Thoi_gian_bat_dau Thoi_gian_ket_thuc
2023-06-01 06:00:00; 2023-06-01 20:00:00
2023-06-02 00:00:00; 2023-06-02 04:00:00
2023-06-02 08:00:00; 2023-06-03 03:00:00
2023-06-03 08:00:00; 2023-06-03 21:00:00
2023-06-03 22:00:00; 2023-06-04 06:00:00
2023-06-04 08:00:00; 2023-06-04 22:00:00
2023-06-05 08:00:00; 2023-06-06 02:00:00
2023-06-06 14:00:00; 2023-06-07 02:00:00
2023-06-07 06:00:00; 2023-06-07 13:00:00
2023-06-07 15:00:00; 2023-06-08 06:00:00
2023-06-08 06:00:00; 2023-06-08 20:00:00
2023-06-08 22:00:00; 2023-06-09 04:00:00
2023-06-09 07:00:00; 2023-06-09 14:00:00
2023-06-10 17:00:00; 2023-06-11 04:00:00
2023-06-11 14:00:00; 2023-06-12 06:00:00
2023-06-12 06:00:00; 2023-06-12 21:00:00
2023-06-12 23:00:00; 2023-06-13 01:00:00
2023-06-13 06:00:00; 2023-06-14 00:00:00
2023-06-14 08:00:00; 2023-06-14 19:00:00
2023-06-15 14:00:00; 2023-06-15 18:00:00
2023-06-15 19:00:00; 2023-06-16 06:00:00
2023-06-16 14:00:00; 2023-06-17 04:00:00
2023-06-17 07:00:00; 2023-06-17 14:00:00
2023-06-17 15:00:00; 2023-06-18 04:00:00
2023-06-18 06:00:00; 2023-06-18 10:00:00
2023-06-18 22:00:00; 2023-06-19 04:00:00
2023-06-19 14:00:00; 2023-06-19 19:00:00
2023-06-20 00:00:00; 2023-06-20 06:00:00
2023-06-20 14:00:00; 2023-06-20 21:00:00
2023-06-21 06:00:00; 2023-06-21 16:00:00
2023-06-21 17:00:00; 2023-06-21 22:00:00
2023-06-22 08:00:00; 2023-06-23 06:00:00
2023-06-23 14:00:00; 2023-06-23 22:00:00
2023-06-24 00:00:00; 2023-06-24 05:00:00
2023-06-24 09:00:00; 2023-06-25 06:00:00
2023-06-25 07:00:00; 2023-06-25 22:00:00
2023-06-25 23:00:00; 2023-06-26 03:00:00
2023-06-26 16:00:00; 2023-06-27 01:00:00
2023-06-27 16:00:00; 2023-06-27 22:00:00
2023-06-28 01:00:00; 2023-06-28 06:00:00
2023-06-28 14:00:00; 2023-06-29 00:00:00
2023-06-29 01:00:00; 2023-06-29 04:00:00
